Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
60,85,71,53,2021,1
60,87,64,85,2020,3
62,79,79,83,2021,2
65,84,64,87,2019,3
72,77,60,87,2018,3
70,78,70,88,2019,3
72,90,80,85,2020,3
80,83,69,84,2019,2
,80,69,82,,2
,,76,,2018,1
79,,91,95,2021,3
68,90,77,93,2018,3
62,76,,,,1
69,83,,91,2018,3
,64,90,77,2021,2
71,86,75,91,2019,3
60,85,77,62,2021,1
95,78,73,75,,2
75,43,,81,2018,2
80,87,61,79,2019,2
64,,77,76,2020,2
90,86,66,63,2019,1
63,91,92,98,,3
68,85,69,86,2019,3
74,79,77,99,2018,3
66,60,71,81,2021,2
68,86,78,92,2018,3
67,76,61,53,2018,1
66,91,68,83,2019,2
76,77,79,86,2018,3
